Metric,Precinct,value
Blanks,1,3
Yes,1,566
No,1,502
Total Voter Turnout,1,1071
Total Registered Voters,1,2949
Percentage,1,0.36
Blanks,2,3
Yes,2,569
No,2,560
Total Voter Turnout,2,1132
Total Registered Voters,2,3174
Percentage,2,0.36
Blanks,3,3
Yes,3,305
No,3,440
Total Voter Turnout,3,748
Total Registered Voters,3,2507
Percentage,3,0.3
Blanks,4,2
Yes,4,572
No,4,546
Total Voter Turnout,4,1120
Total Registered Voters,4,2793
Percentage,4,0.4
Blanks,5,8
Yes,5,492
No,5,498
Total Voter Turnout,5,998
Total Registered Voters,5,2731
Percentage,5,0.37
Blanks,6,6
Yes,6,485
No,6,452
Total Voter Turnout,6,943
Total Registered Voters,6,2743
Percentage,6,0.34
Blanks,7,3
Yes,7,370
No,7,417
Total Voter Turnout,7,790
Total Registered Voters,7,2522
Percentage,7,0.31
Blanks,8,7
Yes,8,374
No,8,394
Total Voter Turnout,8,775
Total Registered Voters,8,2579
Percentage,8,0.3
Blanks,9,3
Yes,9,208
No,9,233
Total Voter Turnout,9,444
Total Registered Voters,9,2028
Percentage,9,0.22
Blanks,10,2
Yes,10,127
No,10,111
Total Voter Turnout,10,240
Total Registered Voters,10,1839
Percentage,10,0.13
Blanks,11,10
Yes,11,586
No,11,455
Total Voter Turnout,11,1051
Total Registered Voters,11,2914
Percentage,11,0.36
Blanks,12,3
Yes,12,187
No,12,220
Total Voter Turnout,12,410
Total Registered Voters,12,1535
Percentage,12,0.27
Blanks,13,6
Yes,13,248
No,13,243
Total Voter Turnout,13,497
Total Registered Voters,13,2030
Percentage,13,0.24
Blanks,14,1
Yes,14,132
No,14,114
Total Voter Turnout,14,247
Total Registered Voters,14,1661
Percentage,14,0.15
Blanks,15,4
Yes,15,204
No,15,154
Total Voter Turnout,15,362
Total Registered Voters,15,1735
Percentage,15,0.21
Blanks,16,2
Yes,16,61
No,16,80
Total Voter Turnout,16,143
Total Registered Voters,16,1121
Percentage,16,0.13
Blanks,17,0
Yes,17,27
No,17,45
Total Voter Turnout,17,72
Total Registered Voters,17,1373
Percentage,17,0.05
Blanks,18,3
Yes,18,177
No,18,118
Total Voter Turnout,18,298
Total Registered Voters,18,1676
Percentage,18,0.18
