Precinct,TullyStoll,King,Long,Maia,WriteIns,TotalVotesCast,TullyStollPercent,KingPercent,LongPercent,MaiaPercent
1,724,638,645,89,8,2104,34.4,30.3,30.7,4.2
2,775,599,808,104,10,2296,33.8,26.1,35.2,4.5
3,520,485,467,107,11,1590,32.7,30.5,29.4,6.7
4,917,611,583,103,8,2222,41.3,27.5,26.2,4.6
5,660,599,594,95,3,1951,33.8,30.7,30.4,4.9
6,686,620,599,93,8,2006,34.2,30.9,29.9,4.6
7,687,499,379,90,6,1661,41.4,30,22.8,5.4
8,575,437,459,106,16,1593,36.1,27.4,28.8,6.7
9,320,299,248,93,4,964,33.2,31,25.7,9.6
10,224,162,167,37,3,593,37.8,27.3,28.2,6.2
11,835,635,602,127,7,2206,37.9,28.8,27.3,5.8
12,318,234,228,75,4,859,37,27.2,26.5,8.7
13,391,302,292,101,4,1090,35.9,27.7,26.8,9.3
14,185,144,148,65,4,546,33.9,26.4,27.1,11.9
15,230,230,249,118,6,833,27.6,27.6,29.9,14.2
16,102,93,82,51,0,328,31.1,28.4,25,15.5
17,66,83,93,46,0,288,22.9,28.8,32.3,16
18,178,195,201,83,2,659,27,29.6,30.5,12.6
Total,8393,6865,6844,1583,104,23789,35.3,28.9,28.8,6.7
