precinct,total_voter_turnout,total_registered,turnout,election,year
1,64,736,0.0869565217391304,General Municipal,2023
2,47,1217,0.0386195562859491,General Municipal,2023
3,64,1077,0.0594243268337976,General Municipal,2023
4,99,1118,0.0885509838998211,General Municipal,2023
5,186,1215,0.153086419753086,General Municipal,2023
6,257,1981,0.129732458354366,General Municipal,2023
7,196,1916,0.102296450939457,General Municipal,2023
8,56,1346,0.0416047548291233,General Municipal,2023
9A,130,1446,0.0899031811894882,General Municipal,2023
9B,7,90,0.0777777777777778,General Municipal,2023
10,96,903,0.106312292358804,General Municipal,2023
11,139,1495,0.0929765886287625,General Municipal,2023
12,138,1280,0.1078125,General Municipal,2023
13,60,970,0.0618556701030928,General Municipal,2023
14,92,1220,0.0754098360655738,General Municipal,2023
15,75,1356,0.0553097345132743,General Municipal,2023
16,150,1733,0.0865551067512983,General Municipal,2023
17,192,1816,0.105726872246696,General Municipal,2023
18,167,2016,0.0828373015873016,General Municipal,2023
19,176,1936,0.0909090909090909,General Municipal,2023
20,177,1907,0.0928159412690089,General Municipal,2023
21A,142,1358,0.104565537555228,General Municipal,2023
21B,95,798,0.119047619047619,General Municipal,2023
21C,3,46,0.0652173913043478,General Municipal,2023
22,230,2141,0.107426436244745,General Municipal,2023
23,187,1901,0.0983692793266702,General Municipal,2023
24,152,1902,0.0799158780231335,General Municipal,2023
25,320,1977,0.161861406170966,General Municipal,2023
26,278,1858,0.14962325080732,General Municipal,2023
27,277,1741,0.159103963239518,General Municipal,2023
Total,4252,42496,0.100056475903614,General Municipal,2023
