precinct,total_registered_voters,total_voter_turnout,turnout,election,year
1,2918,1373,47.1,General,2017
2,3235,1478,45.7,General,2017
3,2502,1027,41,General,2017
4,2796,1469,52.5,General,2017
5,2742,1232,44.9,General,2017
6,2759,1305,47.3,General,2017
7,2538,1102,43.4,General,2017
8,2577,1092,42.4,General,2017
9,2023,637,31.5,General,2017
10,1856,387,20.9,General,2017
11,2920,1431,49,General,2017
12,1570,569,36.2,General,2017
13,2058,731,35.5,General,2017
14,1693,377,22.3,General,2017
15,1751,591,33.8,General,2017
16,1127,250,22.2,General,2017
17,1404,207,14.7,General,2017
18,1693,476,28.1,General,2017
